Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018-06-13,101,17.60,17.82,17.80,"4,327,298",79.160B,17.56-18.02,17.08-21.65,9.75,17.0874,13.8234,4.5B,0.5814,7.0689,-11.55%,"3,938,691",1.80,1.0610,4.26%,0.58
2018-06-13,1038,59.35,59.70,59.50,"1,474,352",157.318B,59.35-60.00,58.70-73.80,14.56,12.9869,2.0630,2.65B,1.4452,24.8569,-6.13%,"2,386,613",4.08,4.5700,4.01%,1.71
2018-06-13,1044,77.50,79.00,79.25,"2,049,835",93.485B,77.15-79.85,52.80-88.70,20.07,18.9726,1.4881,1.21B,4.7317,3.8411,49.99%,"3,333,509",3.15,3.3310,3.28%,1.15
2018-06-13,1088,21.05,20.95,21.30,"16,539,519",494.772B,20.95-21.30,16.33-25.75,7.25,7.0930,N/A,3.4B,1.0750,1.3615,29.11%,"26,782,440",2.37,2.3280,5.30%,0.91
2018-06-13,1093,24.95,25.30,25.65,"31,634,462",155.763B,24.80-25.50,10.94-26.75,54.87,39.1680,1.4675,6.24B,10.1657,9.8329,119.82%,"46,183,590",0.45,0.5950,0.60%,0.15
2018-06-13,1109,30.05,30.45,30.68,"8,946,001",208.275B,30.05-30.65,21.05-34.45,9.05,7.8460,0.4483,6.93B,1.4556,1.7563,39.22%,"10,213,600",3.32,3.5190,3.22%,0.867
2018-06-13,1113,66.20,66.15,66.75,"2,913,844",244.774B,65.90-67.05,58.75-75.30,8.20,9.3239,1.4087,3.7B,0.8396,4.2933,10.54%,"4,096,562",8.07,6.2700,2.57%,1.28
2018-06-13,11,199.10,199.30,202.00,"783,548",380.648B,198.80-201.60,159.00-204.20,19.38,16.7875,1.8996,1.91B,2.6243,6.6577,26.20%,"1,413,321",10.27,11.3800,3.42%,1.3
2018-06-13,1299,71.15,72.00,71.80,"14,908,277",859.222B,70.80-72.30,54.50-75.00,17.78,19.2881,3.9678,12.08B,2.6065,2.8382,28.84%,"21,131,200",0.51,0.4750,1.41%,0.7438
2018-06-13,12,44.70,45.00,45.45,"4,857,071",196.736B,44.65-45.55,39.05-50.91,6.46,N/A,N/A,4.4B,0.6711,8.0452,10.28%,"4,082,225",6.92,2.8470,3.48%,1.11818182
