Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018/6/11,101,17.96,17.84,17.98,"4,105,353",80.779B,17.84-18.14,17.08-21.65,9.95,17.4369,14.1062,4.5B,0.5933,7.2135,-11.66%,"3,862,583",1.8,1.061,4.18%,0.58
2018/6/11,1038,59.65,59.5,59.4,"1,379,335",158.113B,59.40-59.85,58.70-73.80,14.64,12.9702,2.0604,2.65B,1.4525,24.9825,-6.58%,"2,407,529",4.08,4.599,3.99%,1.71
2018/6/11,1044,77.4,75.7,76.75,"2,210,130",93.365B,75.60-77.90,52.80-88.70,20.06,19.1652,1.5039,1.21B,4.728,3.8381,48.54%,"3,308,721",3.15,3.295,3.28%,1.15
2018/6/11,1088,21,20.7,20.85,"21,283,914",488.933B,20.45-21.30,16.33-25.75,7.24,7.0799,N/A,3.4B,1.073,1.359,29.20%,"26,193,380",2.37,2.326,5.31%,0.91
2018/6/11,1093,24.4,24.45,24.4,"22,457,906",152.330B,24.25-25.00,10.94-26.75,53.66,38.3046,1.4351,6.24B,9.9416,9.6162,107.35%,"45,529,350",0.45,0.595,0.61%,0.15
2018/6/11,1109,31.15,31.3,31.1,"6,110,231",215.899B,31.05-31.80,21.05-34.45,9.38,8.1332,0.4647,6.93B,1.5089,1.8206,39.74%,"10,155,520",3.32,3.519,3.10%,0.867
2018/6/11,1113,66.1,66.15,66.3,"1,630,785",244.405B,65.50-66.45,58.75-75.30,8.19,9.3099,1.4066,3.7B,0.8383,4.2868,11.01%,"4,174,792",8.07,6.27,2.57%,1.28
2018/6/11,11,202.8,203,200.2,"1,517,444",387.722B,201.20-203.40,159.00-204.20,19.74,17.0995,1.9349,1.91B,2.673,6.7814,28.31%,"1,423,391",10.27,11.38,3.35%,1.3
2018/6/11,1299,72.4,72.4,71.95,"9,455,616",874.318B,71.85-72.85,54.50-75.00,18.09,19.6315,4.0383,12.08B,2.6529,2.8888,30.52%,"21,469,510",0.51,0.475,1.38%,0.7438
2018/6/11,12,45.7,46,45.95,"2,465,041",201.138B,45.60-46.00,39.05-50.91,6.61,N/A,N/A,4.4B,0.6862,8.2252,13.00%,"4,153,197",6.92,2.847,3.40%,1.11818182
2018/6/11,1398,6.56,6.54,6.59,"160,896,016",2.413T,6.53-6.61,4.83-7.64,6.61,5.9141,1.0681,86.79B,0.9147,1.8072,32.41%,"236,435,600",0.81,0.857,4.50%,0.2408
2018/6/11,144,17.46,17.38,17.22,"2,266,299",57.227B,17.28-17.54,16.96-26.02,9.45,10.0345,8.841,3.28B,0.7792,6.5904,-12.42%,"5,234,358",1.85,1.74,4.64%,0.59
2018/6/11,151,7.85,7.79,7.79,"10,756,274",97.727B,7.67-7.98,5.00-8.18,25.7,N/A,N/A,12.45B,5.5034,3.9469,38.55%,"17,600,610",0.25,0.259,0.90%,0.0125
2018/6/11,16,127.3,126.8,126.9,"1,101,027",368.788B,126.50-127.70,113.50-139.60,6.81,N/A,2.5883,2.9B,0.7004,4.2364,8.26%,"3,562,952",18.69,10.387,3.30%,1.2
2018/6/11,175,24.3,23.7,23.6,"55,492,945",218.131B,23.60-24.50,13.94-29.80,16.67,14.9065,0.5192,8.98B,5.1599,1.9099,58.91%,"45,599,760",1.19,1.529,1.19%,0.29
2018/6/11,17,12.12,12.1,12.1,"6,087,023",123.777B,12.04-12.22,9.74-13.00,8.11,N/A,N/A,10.21B,0.5963,2.0441,17.92%,"15,181,840",1.49,0.772,3.88%,0.14
2018/6/11,1928,45.45,44.35,44.75,"9,671,760",367.245B,44.35-46.00,33.80-49.35,29.18,N/A,1.3578,8.08B,10.3061,6.0609,31.40%,"11,978,640",0.2,0.263,4.38%,1
2018/6/11,1997,60.2,60.55,60.4,"1,363,827",182.781B,60.00-60.85,46.55-65.15,N/A,20.6873,N/A,3.04B,0.8816,N/A,N/A,"2,864,941",N/A,3.02,1.58%,0.95
